Overall#,Team,Player,Seasons,GP,G,A,TP,PIM,Draft Year,link,playername,position,is_fwd,is_def,is_goalie
152,Philadelphia Flyers,Jon Kalinski (F),2,22,1,4,5,0,2007,https://www.eliteprospects.com/player/17719/jon-kalinski,Jon Kalinski ,F,1,0,0
153,Phoenix Coyotes,Scott Darling (G),5,126,-,-,-,-,2007,https://www.eliteprospects.com/player/12553/scott-darling,Scott Darling ,G,0,0,1
154,Washington Capitals,Dan Dunn (G),,,,,,,2007,https://www.eliteprospects.com/player/12552/dan-dunn,Dan Dunn ,G,0,0,1
155,Colorado Avalanche,Jens Hellgren (D),,,,,,,2007,https://www.eliteprospects.com/player/5509/jens-hellgren,Jens Hellgren ,D,0,1,0
156,Chicago Blackhawks,Richard Greenop (F),,,,,,,2007,https://www.eliteprospects.com/player/13632/richard-greenop,Richard Greenop ,F,1,0,0
157,Edmonton Oilers,William Quist (F),,,,,,,2007,https://www.eliteprospects.com/player/6912/william-quist,William Quist ,F,1,0,0
158,Columbus Blue Jackets,Allen York (G),1,11,-,-,-,-,2007,https://www.eliteprospects.com/player/15039/allen-york,Allen York ,G,0,0,1
159,Boston Bruins,Alain Goulet (D),,,,,,,2007,https://www.eliteprospects.com/player/12559/alain-goulet,Alain Goulet ,D,0,1,0
160,St. Louis Blues,Anthony Peluso (F),6,148,4,10,14,220,2007,https://www.eliteprospects.com/player/15038/anthony-peluso,Anthony Peluso ,F,1,0,0
161,Philadelphia Flyers,Pat Maroon (F),12,675,112,166,278,822,2007,https://www.eliteprospects.com/player/12063/pat-maroon,Pat Maroon ,F,1,0,0
162,Carolina Hurricanes,Brett Bellemore (D),3,121,4,16,20,79,2007,https://www.eliteprospects.com/player/14729/brett-bellemore,Brett Bellemore ,D,0,1,0
163,Montréal Canadiens,Nichlas Torp (D),,,,,,,2007,https://www.eliteprospects.com/player/4509/nichlas-torp,Nichlas Torp ,D,0,1,0
164,Toronto Maple Leafs,Chris DiDomenico (F),2,27,6,4,10,14,2007,https://www.eliteprospects.com/player/11319/chris-didomenico,Chris DiDomenico ,F,1,0,0
165,San Jose Sharks,Patrik Zackrisson (F),,,,,,,2007,https://www.eliteprospects.com/player/2020/patrik-zackrisson,Patrik Zackrisson ,F,1,0,0
166,New York Islanders,Blake Kessel (D),,,,,,,2007,https://www.eliteprospects.com/player/12176/blake-kessel,Blake Kessel ,D,0,1,0
167,Tampa Bay Lightning,Johan Harju (F),1,10,1,2,3,2,2007,https://www.eliteprospects.com/player/2349/johan-harju,Johan Harju ,F,1,0,0
168,New York Rangers,Carl Hagelin (F),12,713,110,186,296,293,2007,https://www.eliteprospects.com/player/4567/carl-hagelin,Carl Hagelin ,F,1,0,0
169,Boston Bruins,Radim Ostrcil (D),,,,,,,2007,https://www.eliteprospects.com/player/12572/radim-ostrcil,Radim Ostrcil ,D,0,1,0
170,Minnesota Wild,Harri Ilvonen (D),,,,,,,2007,https://www.eliteprospects.com/player/10246/harri-ilvonen,Harri Ilvonen ,D,0,1,0
171,Pittsburgh Penguins,Dustin Jeffrey (F),7,131,18,15,33,12,2007,https://www.eliteprospects.com/player/11115/dustin-jeffrey,Dustin Jeffrey ,F,1,0,0
172,Dallas Stars,Luke Gazdic (F),4,147,5,3,8,206,2007,https://www.eliteprospects.com/player/15037/luke-gazdic,Luke Gazdic ,F,1,0,0
173,San Jose Sharks,Nick Bonino (F),14,787,150,189,339,223,2007,https://www.eliteprospects.com/player/14686/nick-bonino,Nick Bonino ,F,1,0,0
174,Nashville Predators,Robert Dietrich (D),,,,,,,2007,https://www.eliteprospects.com/player/13633/robert-dietrich,Robert Dietrich ,D,0,1,0
175,Atlanta Thrashers,John Albert (F),1,9,1,0,1,0,2007,https://www.eliteprospects.com/player/11462/john-albert,John Albert ,F,1,0,0
176,Vancouver Canucks,Taylor Matson (F),,,,,,,2007,https://www.eliteprospects.com/player/12562/taylor-matson,Taylor Matson ,F,1,0,0
